k,wss
2,88879.40097281995
3,59375.581265308254
4,44903.56570452357
5,36098.23476232101
6,30681.327873196136
7,26226.696447693696
8,22984.65281993155
9,20542.715387553806
10,18619.37225709941
11,17121.514124006535
12,15959.494807193621
13,14567.267165152769
14,13281.422414174402
15,12530.4406462863
