cluster,neighbor,sil_width
3,5,0.4297937412677372
4,3,0.5409250163014606
4,3,0.5374785591402004
4,3,0.5411342762724581
2,6,0.013625333687526496
6,2,0.49339291693484155
6,8,0.4734954092077327
7,5,0.15883947739753512
8,6,0.117442715368358
4,1,0.6141805612423288
5,3,0.5704421801001044
5,8,0.13276967498697478
8,5,0.10638869901757896
5,3,0.3248756594525035
6,2,0.4646848810900151
4,1,0.42600166072545304
1,4,0.48930726720576523
6,8,0.37797373185714617
6,8,0.29917556668297934
6,8,0.1521726667319728
6,8,0.5768862355552803
6,8,0.16829566698144516
8,7,0.4049228711620789
6,2,0.42764979506846906
1,4,0.5329866953229204
5,3,0.15913513632194123
8,6,0.5024924801365027
7,8,0.43555101397264556
1,4,0.18490656896831303
3,1,0.10769454767591329
1,4,0.5151730005247042
5,2,0.2273695792414974
1,5,0.3056768779527861
2,6,0.16731778526828625
6,2,0.3178863219049101
6,2,0.49946149985822025
4,1,0.5956500637954405
8,6,0.2793202110108978
5,7,0.03171999915482367
7,5,0.3593241560976737
5,2,0.08124736691202114
1,4,0.45429626177732546
5,3,0.5650889923812273
8,6,0.5754046675854563
2,3,0.5347784601583636
2,3,0.5726779545396092
6,8,0.3327101739860765
3,1,0.17147545959114274
7,5,0.20671247544604943
5,3,0.33343969379850824
6,8,0.13421950815901248
8,6,0.18641026247184508
5,3,0.5174506228152891
5,3,0.53593098446865
6,8,0.11915641438722158
2,3,0.0257546045021043
8,6,0.44219441384828967
1,4,0.509866528501353
5,6,0.044912082430387607
5,3,0.45185731241122534
8,5,0.057529181357008484
6,8,0.1606451184840425
7,8,0.4430536875462558
6,2,0.2064236994261576
5,3,0.5301471366372582
6,2,0.5065979959071906
5,3,0.42171523132909783
8,6,0.2949688007686153
6,8,0.2935584266903921
6,8,0.5449003622617485
1,5,0.2657120371971943
8,5,0.17890413343799622
8,7,0.07604216134516702
8,5,0.4503259534171363
5,8,0.5179928428804703
6,8,0.5634829193081156
5,3,0.3071015455756278
8,6,0.1811878455552604
2,5,0.1297000069406103
8,5,0.026633511377068778
7,8,0.46088882993681474
6,2,0.4358875152479826
8,6,0.4059076193320756
7,5,0.4255064415613452
5,7,0.17286161689288448
5,1,0.2810599588605695
1,4,0.16579358783963685
1,4,0.5002510803420638
5,3,0.24561492736106597
5,3,0.22868229565776202
5,3,0.43905654184619575
1,5,0.27677745834504425
7,8,0.3601003435406295
5,8,0.4923075514240105
7,8,0.2602045056489985
8,5,0.36187519714803923
7,5,0.20367284398095914
1,4,0.5497348474007643
8,6,0.44197703621056145
6,8,0.10736811389478844
5,3,0.4680187046678718
8,7,0.3280787277456155
8,5,0.1931652670875548
4,1,0.531215820600479
4,1,0.569259624518417
4,1,0.49708242684467047
8,6,0.5522584430647401
8,6,0.1567377608644456
6,2,0.36139873447508614
8,6,0.11489189915705747
7,8,0.17431651073480964
1,4,0.45249727492447256
5,7,0.35704643089888033
7,8,0.03718415141825767
3,5,0.1745553612838863
8,7,0.5310210437176316
5,8,0.3876275861786331
4,1,0.29926072293515343
6,8,0.19659833404796562
5,8,0.04927653762001818
8,5,0.2544857981280555
1,4,0.35286893773877076
5,8,0.14192225543642173
6,8,0.07590573490238159
6,8,0.48339727795024373
3,4,0.5828383694012426
1,4,0.45087914260601997
8,5,0.30615569566584716
8,6,0.08626672721342857
8,5,0.21239644246283917
1,4,0.5461741259107663
5,8,0.08284586194549025
8,6,0.2822166338545258
1,4,0.42448837737927647
5,8,0.13986773783788883
6,8,0.16999580662682975
7,8,0.1742985185835527
2,6,0.35945192786608426
5,7,0.3242711518676454
8,6,0.48063292005181496
3,1,0.07845663422150129
6,8,0.1760511442006795
