doc_id,nonzero_terms,max_tfidf,mean_tfidf
1,79,0.24091861355094565,0.0016325285437868682
2,86,0.32076091906202825,0.0014903686220149345
3,65,0.14663274776073795,0.0014875298962551073
4,69,0.31971423545895944,0.0016703451451603832
5,60,0.21020596974902012,0.0014947616486207665
6,128,0.1418106755394699,0.0015103919783624085
7,59,0.28229742466297153,0.0015811758996899538
8,65,0.5643072944084884,0.001607904679155646
9,57,0.20042622180755237,0.0016022014938015124
10,51,0.30400818786782885,0.0017596984820338623
11,36,0.7361573702931824,0.0017965389113720994
12,79,0.13771612458842228,0.0017204819366843935
13,70,0.18316854219455928,0.0015723450790068212
14,56,0.27289305361076965,0.0016425880325131072
15,64,0.20704815955359115,0.0012833717584050286
16,81,0.2513202712561755,0.0015144735354051164
17,77,0.18683772554986985,0.0015861746031914003
18,116,0.16911336896263693,0.0017036423944424327
19,91,0.15447959343599715,0.001803615902703805
20,101,0.20982104031978266,0.0016085059558407432
21,169,0.14105975744609847,0.0016694721613175123
22,137,0.19008059374234376,0.0016775243764554201
23,111,0.3574660679634411,0.0015788214024287748
24,120,0.18460751592578484,0.0017311801695941858
25,62,0.28404367577387823,0.0014064139737555693
26,58,0.2982168304211858,0.0014191259798799923
27,124,0.11536046540108624,0.0017347805200905967
28,76,0.2513346225391683,0.0016969875776638877
29,69,0.2528825601852509,0.0016815206020606521
30,72,0.20629066144569047,0.00161780167818741
31,86,0.12642353435201784,0.0015845676814918767
32,55,0.2823652851449189,0.001382076469204834
33,76,0.535743537712413,0.0016718772857274064
34,90,0.2172915518396228,0.0014522274217010636
35,90,0.21490104732023796,0.0016995623453725786
36,89,0.21764763995947053,0.0016602627737299911
37,77,0.26234730780010906,0.001585854730576142
38,82,0.11692721537419831,0.0014547487365829538
39,67,0.27654349906496917,0.0015711130566887553
40,106,0.1526368409690831,0.001556037073762995
41,50,0.38635321630690495,0.0018907297555452196
42,97,0.12471436774541989,0.0013867382766517345
43,107,0.2325948960736835,0.0014265442430550473
44,71,0.49126329469913244,0.0016746250513180088
45,95,0.18907379507317174,0.001669847564437056
46,92,0.2444653296226798,0.0016416950097902319
47,56,0.23792011766020402,0.0015141101563795627
48,92,0.27154127595666905,0.0016870538992717445
49,101,0.2012531005940603,0.0016440515401244212
50,82,0.20258794919091155,0.0016656433624963715
51,71,0.29049301735295097,0.0016371766350299925
52,119,0.20120575180124103,0.0016194323386056625
53,98,0.31213152588558013,0.001698716430200146
54,88,0.25089862777064503,0.0014420739332084754
55,67,0.2839464317036371,0.0014233787844938472
56,63,0.17113048390212404,0.0018972330367400699
57,79,0.39891640631671504,0.0016933098440054342
58,68,0.14748166825072573,0.0016919444483389234
59,96,0.13208873247134842,0.0016384904531498554
60,99,0.24936381427365864,0.00163191803892066
61,71,0.25640149509201915,0.0017534537247072472
62,73,0.4695111441109501,0.0018351148740753844
63,77,0.41112596331683254,0.0017818642834698543
64,82,0.3427871695053143,0.0016704807519302906
65,58,0.2598513399179928,0.0017155037830675238
66,119,0.11237790863983149,0.0016285345438516907
67,108,0.13682816819370577,0.0013938964326385935
68,56,0.22688110539728806,0.0015812933323603577
69,108,0.21231317976010441,0.001576557349664764
70,46,0.12254577877145267,0.0015758080601643418
71,64,0.16377044206250974,0.001731041300188493
72,91,0.19944296713784693,0.0016857903685507634
73,79,0.23078239752759744,0.0016447562350357036
74,67,0.3341496426825601,0.0015999221332865816
75,64,0.3244365240820964,0.0017458276864926907
76,124,0.296444475388028,0.0015457347854068925
77,89,0.1514131677197479,0.0015924025785230942
78,54,0.5501084305218413,0.0015333873930797504
79,56,0.192832099186984,0.0015556297914440518
80,58,0.15735568063659297,0.0015867155864269756
81,144,0.19264403339477706,0.0015699669952418155
82,84,0.1658269785998496,0.00174295052450894
83,88,0.11706934628929441,0.0017392204387843401
84,112,0.09361784836053842,0.0015725175459353103
85,35,0.8270610318459881,0.0016675192431494313
86,106,0.19137013975578548,0.0017868049459121918
87,63,0.1764396867938108,0.001789612683516886
88,85,0.16204882597414122,0.0017384212819183558
89,83,0.267893668116319,0.0016260504729432815
90,73,0.26876261064366064,0.0014814960145784458
91,63,0.41448024450268905,0.0015218464007251745
92,95,0.14120872346037652,0.0016231124624815486
93,79,0.5044759290863899,0.001679705112785241
94,75,0.44630824301248945,0.0015905450505123032
95,89,0.1856394011786146,0.001826844976071649
96,4,1.7005887000198097,0.0022847913992399293
97,16,0.7245426989936146,0.002071386533701741
98,115,0.1586116254741326,0.0015744329487425086
99,80,0.18011768740040643,0.0016893870677582713
100,65,0.22529041513271178,0.0014470096068967494
101,56,0.23006939121445866,0.0016417631961675816
102,82,0.12097160699517095,0.0014755811081908691
103,70,0.48181807503601803,0.001701692978118237
104,69,0.409461132394487,0.0015391700342620223
105,69,0.24727321242893177,0.0016864905020008425
106,59,0.37124025386515386,0.001445874465623634
107,75,0.3271729567446003,0.001602934072146879
108,76,0.22815476740578983,0.0017181831206667343
109,89,0.3596813103718343,0.001710513067356202
110,113,0.14306675454498968,0.0015269814481022406
111,81,0.20515121444347195,0.001432993265745262
112,114,0.22998421848245504,0.001700991688168844
113,89,0.18193629352475257,0.001508165888076835
114,64,0.12639184287378416,0.0015419003098263062
115,77,0.2992163866934412,0.0015406337820705926
116,77,0.39623488135617174,0.0015053579444179758
117,77,0.26667921535323447,0.0014115384905907535
118,101,0.097522016727277,0.001668336875358907
119,69,0.23640058920612791,0.0016288620706262913
120,114,0.1656256064691945,0.0016675673429173915
121,66,0.266396137195689,0.0015172501167641911
122,65,0.2818885502474221,0.001499464811932148
123,68,0.2520250352137684,0.0016121204912369097
124,88,0.4240952720076951,0.0016375881417572701
125,62,0.21747709042506097,0.0017095616014574189
126,96,0.10971612337504368,0.0015259881050363768
127,80,0.21503614880407146,0.0015937621473420245
128,35,0.5529588929123649,0.0016323812499413485
129,19,0.4644710525179021,0.0015535478300932075
130,87,0.29669973077524386,0.0016993110590450954
131,74,0.19527894307976942,0.0016415450399875975
132,69,0.14202183788693912,0.0013886157418115197
133,100,0.19458685926549965,0.0017554575098056929
134,98,0.1792925817012768,0.0016526562725883592
135,79,0.443913228041409,0.001665122680403385
136,81,0.20666082225988633,0.0017335604465612176
137,80,0.11944898260525388,0.0015362141059374495
138,54,0.36632458864732,0.0017712305152110229
139,110,0.12458930263317315,0.0016785048754534573
140,109,0.10465506064784916,0.001581995329738891
141,69,0.12712151828819587,0.0014673884874719255
142,73,0.13750185260620723,0.0016381366983501545
143,31,0.403208168483553,0.0013446891017110344
144,67,0.21476811545474792,0.0016897587245579913
145,69,0.189050170511086,0.0014457505546231853
146,1,2.3638390568923713,0.0010686433349423017
147,69,0.3161056179386144,0.0015319723342395934
148,88,0.2656968592184242,0.0016217536544587768
149,94,0.12991767442292226,0.0015365425843272382
150,103,0.43026948360049516,0.0016512174098049493
151,98,0.3494265658227618,0.00161844875850407
152,81,0.20320953103922315,0.0017354380335713802
153,86,0.2087708574616788,0.0014286926867055681
154,85,0.2082586112817021,0.0014561805072114034
155,141,0.0954036115370125,0.0017131815913226825
156,106,0.28669120596135816,0.001698227991721116
157,91,0.1886166125650548,0.0016252010210390402
158,98,0.11848375073229804,0.0016536705300602313
159,85,0.1869022542478569,0.001636010525556584
160,95,0.28808953895954403,0.0014992596374524705
161,91,0.14430027963358574,0.0016564601774879972
162,96,0.14180347390337836,0.0014756401248334646
163,81,0.2476822418729861,0.0016123947639712294
164,67,0.24582584045897782,0.001646374307409545
165,42,0.3748447195486844,0.0017734656481095382
166,85,0.25202951021679343,0.0018981987197170952
167,58,0.2797999951208654,0.001561796970140191
168,88,0.4706007566525242,0.001689807167053261
169,79,0.21963234330199743,0.0016631956662723688
170,110,0.12078768471388716,0.0014916825696475041
171,47,0.5610002533421586,0.0015262228103206253
172,85,0.2284415157286929,0.0016019139449412185
173,74,0.36365510969622655,0.001629185360027711
174,121,0.18268540731931998,0.0015049698633038146
175,51,0.31623681205230814,0.001688358305995254
176,105,0.1365424606470084,0.0016114021386934583
177,81,0.1984641631044837,0.0015785103603113502
178,55,0.2663469322456162,0.0015151918174957546
179,45,0.8316541809277946,0.0015428937926824679
180,92,0.13906111615922237,0.0016427717373659985
181,63,0.34543209274180914,0.0016770307227001726
182,90,0.12065288383775778,0.0016511601773547512
183,84,0.2607869015595441,0.001551743366878922
184,77,0.1989125121271118,0.0013700282337037204
185,83,0.6064332963035967,0.0017092131233003066
186,74,0.12994644060328886,0.0015677825604878876
187,75,0.28451383357368915,0.00167269642303051
188,84,0.5398143893873221,0.0017271701091635893
189,99,0.2048069056998413,0.0017771233516038403
190,87,0.4425443979774758,0.0016862124634139351
191,68,0.2894424379150139,0.0017576769355764714
192,69,0.2894424379150139,0.0017485209660932544
193,58,0.4923201723855472,0.0018071991641135023
194,59,0.20957374054232228,0.0016015351501384196
195,75,0.19230112131901436,0.0016951337764419634
196,75,0.893495045558468,0.0017850673376279967
197,111,0.10228628855853808,0.0014018503245070806
198,49,0.20074509927579715,0.0016928622307184776
199,108,0.16526951120234218,0.001696564611001838
200,84,0.18101330763284998,0.0016364999962337585
201,134,0.09743574495413569,0.0014757139954550806
