doc_id,UMAP1,UMAP2,cluster_kmeans,cluster_hdbscan
1,4.240160251525625,-2.490540720550813,7,3
2,1.038672710326894,-6.019644238083162,4,3
3,1.9432480582272846,-4.425609566299714,4,3
4,2.4583988436734514,-2.2599055543826,7,3
5,2.1946690329587297,4.492988131911956,6,3
6,0.2686183103597004,-4.614047028152742,4,3
7,2.8673067339932756,1.9993675574376206,1,3
8,0.7016785391843159,-1.1607560888216872,2,3
9,3.2976536997830705,0.1804630383565049,7,3
10,1.3276138552701313,6.060266993911467,6,3
11,0.1277573355710346,-4.165096260635652,4,3
12,1.2193717011487324,-0.3573784604952712,2,3
13,1.4681673296964008,6.377395652206145,6,3
14,0.7466979869878132,6.940286181838713,6,3
15,1.9625704535519917,-4.51004884394864,4,3
16,2.6426530131375627,-5.501204468338289,4,3
17,2.146325612930043,-3.503956772415437,4,3
18,3.220137859252675,-6.059893108932771,4,3
19,0.7740152725255329,6.882798217208586,6,3
20,2.149226690200551,-0.5209749713824172,2,3
21,2.8986714133298235,-2.6698302999422925,7,3
22,-1.7603436461413067,-3.6666521802828687,5,3
23,1.0728062638318379,-5.999660946457185,4,3
24,3.7098434218442278,0.0977339967801194,7,3
25,2.812518859771474,-0.6320222392962356,7,3
26,2.6729066618954973,-3.621829964248933,7,3
27,2.9926402815854387,4.751682303817473,6,3
28,3.5416231402432756,5.034894965560637,6,3
29,2.1192033537900286,-3.8975662961886304,4,3
30,-0.6052323332750957,-5.532427288620271,4,3
31,1.2123565920865376,-3.547860123245515,4,3
32,2.428809429076894,-2.332182623474397,7,3
33,1.0368418940579731,-6.018695332138337,4,3
34,1.3358240374600727,-0.3368546739504714,2,3
35,0.705880368617757,7.002806685836516,6,3
36,-2.046911691757457,-2.4173462167666333,5,3
37,-1.525896882148997,-3.283638931839265,5,3
38,-1.579833959671275,-3.7349266782687085,5,3
39,-0.27433334800841025,6.368429683120452,8,3
40,2.349933887389882,-3.0345148816988843,7,3
41,1.2113176831281025,4.660531304748259,6,3
42,0.25876223531125375,-5.736999966232576,4,3
43,2.8303797492062883,-4.072410084335603,4,3
44,2.9597437628781633,-5.86283204707364,4,3
45,2.8063774355923967,-3.8791103139803784,7,3
46,2.5821693190610246,-3.8206791654513257,4,3
47,3.5633540400540666,6.803387187392913,6,1
48,3.457496667770131,0.38675209131976174,7,3
49,3.118070627120717,-4.879285790054597,4,3
50,0.8829657086407978,3.341537736327849,1,3
51,3.6495681056058245,6.613729976089202,6,1
52,-2.184344982239024,0.9758156090690713,3,3
53,3.7847612151181536,-3.0867123380587476,7,3
54,-0.2603496960127514,-4.716983296005525,4,3
55,0.3538529225861866,-5.633269764511384,4,3
56,3.423504138854726,5.007285855682097,6,3
57,-5.1526553383791605,-2.0027117505953687,3,0
58,-2.7814528695070906,7.156316302688323,8,3
59,-1.797517394157664,-4.525656200973787,5,3
60,2.114286685851796,-4.067584969131746,4,3
61,3.2609246024167375,6.705233596236907,6,1
62,-1.5609243861162823,3.7937031015469653,8,3
63,3.5707102068936662,6.764105342300139,6,1
64,3.152235771087392,0.0490887388302903,7,3
65,2.2832589396512346,-1.712292648880281,7,3
66,2.191456342605336,-1.930683590500154,7,3
67,1.8837627419507343,-1.3186671510622878,2,3
68,-1.2411948195421856,-3.473222710220613,5,3
69,0.996130133537038,-6.007613636581697,4,3
