cluster,word,n,tf,idf,tf_idf
1,ferroptosis,17.913374346347368,0.003811406688270944,0.6931471805599453,0.002641865799942323
1,macrophage,13.357355397279093,0.0028420281245996742,0.47000362924573563,0.0013357635329802986
1,cdsupsup,7.469707465521702,0.0015893204955727406,0.6931471805599453,0.00110163302051238
1,nanoparticle,6.389485808005662,0.0013594830584339767,0.6931471805599453,9.423218489725223e-4
1,nrf,4.231668072525129,9.003668254972631e-4,0.9808292530117262,8.831061208890198e-4
1,polarization,3.6939988346182075,7.859676012185699e-4,0.9808292530117262,7.709000151946281e-4
1,knockdown,4.707741379439926,0.0010016603590883987,0.6931471805599453,6.942980537807859e-4
1,vitroi,2.533394824534414,5.390273095158271e-4,0.9808292530117262,5.286937533453293e-4
1,chromatin,2.376180567011647,5.055770247716797e-4,0.9808292530117262,4.958847355466976e-4
1,peroxidation,4.890405517514142,0.001040525583702279,0.47000362924573563,4.890508006631086e-4
1,hydrogel,7.897650595384412,0.001680373430425906,0.28768207245178085,4.83413310957833e-4
1,ros,4.722159234962039,0.0010047280285238175,0.47000362924573563,4.7222581981110724e-4
1,regeneration,4.472003274906376,9.515026517281048e-4,0.47000362924573563,4.4720969954915044e-4
1,effector,2.8919255917501965,6.153114611053786e-4,0.6931471805599453,4.265014044314136e-4
1,nsclc,6.901038622964645,0.0014683255234347742,0.28768207245178085,4.2241092961556174e-4
1,mechanistically,5.885020348522944,0.0012521485613649663,0.28768207245178085,3.6022069315098937e-4
1,astrocyte,2.412192914182494,5.132393277087748e-4,0.6931471805599453,3.5575039295381906e-4
1,anticancer,3.527208270543788,7.504797774751138e-4,0.47000362924573563,3.527282190888356e-4
1,ischemiareperfusion,1.6506780940442058,3.512127534534146e-4,0.9808292530117262,3.444797426179042e-4
1,senescence,5.51964446115562,0.0011744079819565587,0.28768207245178085,3.3785612215317645e-4
1,multifunctional,2.279315732823705,4.8496721280973305e-4,0.6931471805599453,3.3615365622308147e-4
1,singlecell,3.3167733422990064,7.057057958985203e-4,0.47000362924573563,3.3168428525205495e-4
1,metastasis,5.299227532476827,0.0011275101423909052,0.28768207245178085,3.2436445447341815e-4
1,overexpression,5.252261831685218,0.001117517307838605,0.28768207245178085,3.2148969511974464e-4
1,caspase,2.1485020798715384,4.571341523187762e-4,0.6931471805599453,3.1686124881742027e-4
1,microbiota,11.033939386320109,0.002347677749701684,0.13353139262452257,3.1348867935127115e-4
1,immunity,4.983501368111769,0.0010603334736485092,0.28768207245178085,3.0503893118919887e-4
1,fecal,3.0324939233519417,6.452200126081403e-4,0.47000362924573563,3.0325574758780524e-4
1,autophagy,2.030244062687896,4.3197253905034687e-4,0.6931471805599453,2.994205475220688e-4
1,cytotoxic,2.981104152742939,6.342858741470747e-4,0.47000362924573563,2.98116662828429e-4
1,transcriptomics,1.9476113085976552,4.143908693146272e-4,0.6931471805599453,2.872338627152186e-4
1,transcription,4.687067528809418,9.97261609246971e-4,0.28768207245178085,2.8689428652476664e-4
1,microglia,2.796551507261394,5.950188341284594e-4,0.47000362924573563,2.796610115099423e-4
1,flux,1.8871908496169787,4.015352823651865e-4,0.6931471805599453,2.783230488667705e-4
1,vaccine,4.484744588982814,9.54213605496466e-4,0.28768207245178085,2.7451014759090933e-4
1,upregulated,4.467848166826536,9.506185744783475e-4,0.28768207245178085,2.734759216170886e-4
1,iin,4.3868860863439,9.333923719169763e-4,0.28768207245178085,2.6852025196375917e-4
1,epithelial,4.355335962724221,9.266794908117848e-4,0.28768207245178085,2.665890764152953e-4
1,glycolysis,2.6297602137480802,5.595308551831844e-4,0.47000362924573563,2.629815326110668e-4
1,permeability,2.5963420140354234,5.524205058189528e-4,0.47000362924573563,2.596396426046728e-4
1,translocation,1.7515595605075838,3.72677179338061e-4,0.6931471805599453,2.583201361172101e-4
1,gutbrain,2.5754410275724147,5.479734285650341e-4,0.47000362924573563,2.575495001557949e-4
1,vesicle,4.12757200641089,8.782184331877258e-4,0.28768207245178085,2.526476989248008e-4
1,wind,8.797932797972353,0.0018719253704418664,0.13353139262452257,2.499608016042777e-4
1,microenvironment,8.587657864963033,0.0018271854308552825,0.13353139262452257,2.4398661516534417e-4
1,innate,2.439431502617412,5.190348487609587e-4,0.47000362924573563,2.439482626226621e-4
1,vivo,8.519354321448052,0.001812652569678366,0.13353139262452257,2.4204602197357164e-4
1,reticulum,1.607474744545588,3.4202042977106407e-4,0.6931471805599453,2.3707049658971383e-4
1,apoptosis,8.313711244247951,0.0017688981443711707,0.13353139262452257,2.362034326288162e-4
1,blot,3.8223012490279316,8.132663485649762e-4,0.28768207245178085,2.3396214861046475e-4
1,vivoi,2.3147992626260354,4.925169999239425e-4,0.47000362924573563,2.3148477742947467e-4
1,angiogenesis,3.747824292279293,7.974199778262488e-4,0.28768207245178085,2.294034318355084e-4
1,endoplasmic,1.5055033763417651,3.203241068299071e-4,0.6931471805599453,2.2203175151453282e-4
1,murine,3.595986277508167,7.65113589658212e-4,0.28768207245178085,2.2010946313389586e-4
1,transcriptomic,3.5577776324823125,7.569839831203457e-4,0.28768207245178085,2.1777072107686494e-4
1,silence,2.1423391634948694,4.558228761603521e-4,0.47000362924573563,2.14238406088595e-4
